Zip Code,Building type (service class),Consumption (therms),Utility/Data Source,Latitude,Longitude
10459,Residential,317074,ConEd,40.82552622,-73.89313107
10040,Commercial,1511169,ConEd,40.85809553,-73.92925549
10013,Commercial,6067132,ConEd,40.72124219,-74.008889
11374,Institutional,328460,National Grid,40.72646492,-73.86148085
11206,Institutional,2486776,National Grid,40.70191202,-73.9423792
10312,Industrial,13482,National Grid,40.54295598,-74.18037682
11367,Commercial,970445,ConEd,40.73032309,-73.82610631
11413,Institutional,394872,National Grid,40.66971118,-73.75087393
11222,Small residential,4373864,National Grid,40.72825312,-73.94715978
11233,Large residential,10673659,National Grid,40.67813044,-73.91977648
11214,Large residential,7906290,National Grid,40.60401181,-74.000969
11104,Residential,1153072,ConEd,40.74489337,-73.92054135
11435,Large residential,4902151,National Grid,40.70119265,-73.80979666
11040,Large residential,3364311,ConEd,40.74529996,-73.67963193
11428,Residential,69640,ConEd,40.72139696,-73.7419373
11230,Institutional,3604096,National Grid,40.62192951,-73.96551106
11375,Institutional,283731,National Grid,40.72070726,-73.8462843
10026,Commercial,5647551,ConEd,40.80305812,-73.95334278
11422,Institutional,240378,National Grid,40.66161349,-73.73605173
11238,Large residential,9649474,National Grid,40.67886241,-73.96382047
10001,Large residential,3616905,ConEd,40.75025902,-73.9968863
11385,Commercial,3526058,National Grid,40.70122489,-73.88334858
11368,Institutional,1001098,National Grid,40.74967822,-73.85304069
11365,Residential,222234,ConEd,40.73987184,-73.79462154
